position,team,points,won,draw,lost,goalsFor,goalsAgainst,goalDifference
1,FC Internazionale Milano,71,21,8,4,72,32,40
2,SSC Napoli,71,21,8,4,52,25,27
3,Atalanta BC,64,19,7,7,66,30,36
4,Bologna FC 1909,60,16,12,5,52,37,15
5,Juventus FC,59,15,14,4,49,31,18
6,SS Lazio,59,17,8,8,55,43,12
7,AS Roma,57,16,9,8,48,32,16
8,ACF Fiorentina,56,16,8,9,51,33,18
9,AC Milan,51,14,9,10,51,38,13
10,Torino FC,43,10,13,10,38,37,1
11,Udinese Calcio,40,11,7,15,36,48,-12
12,Como 1907,39,10,9,14,43,48,-5
13,Genoa CFC,39,9,12,12,29,40,-11
14,Hellas Verona FC,32,9,5,19,30,60,-30
15,Parma Calcio 1913,31,6,13,14,38,51,-13
16,Cagliari Calcio,30,7,9,17,33,49,-16
17,US Lecce,26,6,8,19,23,55,-32
18,Venezia FC,25,4,13,16,27,46,-19
19,Empoli FC,25,4,13,16,26,52,-26
20,AC Monza,15,2,9,22,25,57,-32
