position,team,playedGames,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference
1,FC Internazionale Milano,33,21,8,4,71,72,32,40
2,SSC Napoli,33,21,8,4,71,52,25,27
3,Atalanta BC,33,19,7,7,64,66,30,36
4,Bologna FC 1909,33,16,12,5,60,52,37,15
5,Juventus FC,33,15,14,4,59,49,31,18
6,SS Lazio,33,17,8,8,59,55,43,12
7,AS Roma,33,16,9,8,57,48,32,16
8,ACF Fiorentina,33,16,8,9,56,51,33,18
9,AC Milan,33,14,9,10,51,51,38,13
10,Torino FC,33,10,13,10,43,38,37,1
11,Udinese Calcio,33,11,7,15,40,36,48,-12
12,Como 1907,33,10,9,14,39,43,48,-5
13,Genoa CFC,33,9,12,12,39,29,40,-11
14,Hellas Verona FC,33,9,5,19,32,30,60,-30
15,Parma Calcio 1913,33,6,13,14,31,38,51,-13
16,Cagliari Calcio,33,7,9,17,30,33,49,-16
17,US Lecce,33,6,8,19,26,23,55,-32
18,Venezia FC,33,4,13,16,25,27,46,-19
19,Empoli FC,33,4,13,16,25,26,52,-26
20,AC Monza,33,2,9,22,15,25,57,-32
